data,hora,temperatura
04/21/2021,11:00:00,28
04/21/2021,12:00:00,29.2
04/21/2021,13:00:00,29.6
04/21/2021,14:00:00,30.3
04/21/2021,15:00:00,29.8
04/21/2021,16:00:00,28.6
04/21/2021,17:00:00,27.2
04/21/2021,18:00:00,26.3
04/21/2021,19:00:00,24.6
04/21/2021,20:00:00,23.8
04/21/2021,21:00:00,23.6
04/21/2021,22:00:00,23
04/21/2021,23:00:00,23
04/22/2021,00:00:00,23
04/22/2021,01:00:00,22.6
04/22/2021,02:00:00,22.6
04/22/2021,03:00:00,23.4
04/22/2021,04:00:00,23.9
04/22/2021,05:00:00,24.4
04/22/2021,06:00:00,25.8
04/22/2021,07:00:00,24
04/22/2021,08:00:00,25.2
04/22/2021,09:00:00,26
04/22/2021,10:00:00,27.6
04/22/2021,11:00:00,28.8
04/22/2021,12:00:00,29.6
04/22/2021,13:00:00,29.8
04/22/2021,14:00:00,30.6
04/22/2021,15:00:00,29.4
04/22/2021,16:00:00,27.8
04/22/2021,17:00:00,26.4
04/22/2021,18:00:00,25.6
04/22/2021,19:00:00,24.6
04/22/2021,20:00:00,23.8
04/22/2021,21:00:00,23.8
04/22/2021,22:00:00,23
04/22/2021,23:00:00,23
04/23/2021,00:00:00,22.6
04/23/2021,01:00:00,22.5
04/23/2021,02:00:00,22.5
04/23/2021,03:00:00,22.1
04/23/2021,04:00:00,22.5
04/23/2021,05:00:00,22
04/23/2021,06:00:00,22.6
04/23/2021,07:00:00,23.5
04/23/2021,08:00:00,25
04/23/2021,09:00:00,26.6
04/23/2021,10:00:00,27.8
04/23/2021,11:00:00,29.3
04/23/2021,12:00:00,29.6
04/23/2021,13:00:00,29.6
04/23/2021,14:00:00,30.2
04/23/2021,15:00:00,30.1
04/23/2021,16:00:00,29.7
04/23/2021,17:00:00,27.3
04/23/2021,18:00:00,25.6
04/23/2021,19:00:00,24.8
04/23/2021,20:00:00,25
04/23/2021,21:00:00,23.8
04/23/2021,22:00:00,23.6
04/23/2021,23:00:00,22.6
04/24/2021,00:00:00,22.5
04/24/2021,01:00:00,22.1
04/24/2021,02:00:00,22.1
04/24/2021,03:00:00,22
04/24/2021,04:00:00,21.6
04/24/2021,05:00:00,21.5
04/24/2021,06:00:00,21.6
04/24/2021,07:00:00,23
04/24/2021,08:00:00,25
04/24/2021,09:00:00,25.5
04/24/2021,10:00:00,26.4
04/24/2021,11:00:00,26.3
04/24/2021,12:00:00,25.5
04/24/2021,13:00:00,28
04/24/2021,14:00:00,28.8
04/24/2021,15:00:00,29.5
04/24/2021,16:00:00,28.6
04/24/2021,17:00:00,27.2
04/24/2021,18:00:00,25.6
04/24/2021,19:00:00,24.6
04/24/2021,20:00:00,23.6
04/24/2021,21:00:00,22.8
04/24/2021,22:00:00,22
04/24/2021,23:00:00,21.6
04/25/2021,00:00:00,21.6
04/25/2021,01:00:00,22
04/25/2021,02:00:00,21.6
04/25/2021,03:00:00,21.1
04/25/2021,04:00:00,21.1
04/25/2021,05:00:00,21.1
04/25/2021,06:00:00,21.5
04/25/2021,07:00:00,22.6
04/25/2021,08:00:00,24.4
04/25/2021,09:00:00,25.3
04/25/2021,10:00:00,26.6
04/25/2021,11:00:00,27.8
04/25/2021,12:00:00,29.4
04/25/2021,13:00:00,28.8
04/25/2021,14:00:00,29.6
04/25/2021,15:00:00,30.1
04/25/2021,16:00:00,29.4
04/25/2021,17:00:00,27.6
04/25/2021,18:00:00,25.6
04/25/2021,19:00:00,24.8
04/25/2021,20:00:00,23.8
04/25/2021,21:00:00,23.6
04/25/2021,22:00:00,22.8
04/25/2021,23:00:00,22.5
04/26/2021,00:00:00,22.5
04/26/2021,01:00:00,22.1
04/26/2021,02:00:00,22
04/26/2021,03:00:00,22
04/26/2021,04:00:00,22.1
04/26/2021,05:00:00,22
04/26/2021,06:00:00,22.1
