nome,data,hora,potencia,
Pow-AC1Triunfo,04/19/2021,12:00:00,0,
Pow-AC1Triunfo,04/19/2021,13:00:00,1469,5695336787564;0;0;1469
Pow-AC1Triunfo,04/19/2021,14:00:00,1888,0857449664431;0;0;1888
Pow-AC1Triunfo,04/19/2021,15:00:00,1678,3495245641839;0;0;1678
Pow-AC1Triunfo,04/19/2021,16:00:00,1181,7877675276752;0;0;1181
Pow-AC1Triunfo,04/19/2021,17:00:00,1342,8337142857142;0;0;1342
Pow-AC1Triunfo,04/19/2021,18:00:00,541,957125;0;0;541
Pow-AC1Triunfo,04/19/2021,19:00:00,0,
Pow-AC1Triunfo,04/19/2021,20:00:00,0,
Pow-AC1Triunfo,04/19/2021,21:00:00,0,
Pow-AC1Triunfo,04/19/2021,22:00:00,0,
Pow-AC1Triunfo,04/19/2021,23:00:00,0,
Pow-AC1Triunfo,04/20/2021,00:00:00,0,
Pow-AC1Triunfo,04/20/2021,01:00:00,0,
Pow-AC1Triunfo,04/20/2021,02:00:00,0,
Pow-AC1Triunfo,04/20/2021,03:00:00,0,
Pow-AC1Triunfo,04/20/2021,04:00:00,0,
Pow-AC1Triunfo,04/20/2021,05:00:00,0,
Pow-AC1Triunfo,04/20/2021,06:00:00,0,
Pow-AC1Triunfo,04/20/2021,07:00:00,0,
Pow-AC1Triunfo,04/20/2021,08:00:00,1353,5856085526316;0;0;1353
Pow-AC1Triunfo,04/20/2021,09:00:00,1863,7125970548864;0;0;1863
Pow-AC1Triunfo,04/20/2021,10:00:00,1534,389648;0;0;1534
Pow-AC1Triunfo,04/20/2021,11:00:00,1494,0241061452514;0;0;1494
Pow-AC1Triunfo,04/20/2021,12:00:00,1519,3469642857144;0;0;1519
Pow-AC1Triunfo,04/20/2021,13:00:00,1549,4316073968705;0;0;1549
Pow-AC1Triunfo,04/20/2021,14:00:00,1744,4492660550459;0;0;1744
Pow-AC1Triunfo,04/20/2021,15:00:00,1713,4745238095238;0;0;1713
Pow-AC1Triunfo,04/20/2021,16:00:00,1355,9122262773724;0;0;1355
Pow-AC1Triunfo,04/20/2021,17:00:00,1257,2268913857679;0;0;1257
Pow-AC1Triunfo,04/20/2021,18:00:00,819,5712530712531;0;0;819
Pow-AC1Triunfo,04/20/2021,19:00:00,0,
Pow-AC1Triunfo,04/20/2021,20:00:00,0,
Pow-AC1Triunfo,04/20/2021,21:00:00,0,
Pow-AC1Triunfo,04/20/2021,22:00:00,0,
Pow-AC1Triunfo,04/20/2021,23:00:00,0,
Pow-AC1Triunfo,04/21/2021,00:00:00,0,
Pow-AC1Triunfo,04/21/2021,01:00:00,0,
Pow-AC1Triunfo,04/21/2021,02:00:00,0,
Pow-AC1Triunfo,04/21/2021,03:00:00,0,
Pow-AC1Triunfo,04/21/2021,04:00:00,0,
Pow-AC1Triunfo,04/21/2021,05:00:00,0,
Pow-AC1Triunfo,04/21/2021,06:00:00,0,
Pow-AC1Triunfo,04/21/2021,07:00:00,0,
Pow-AC1Triunfo,04/21/2021,08:00:00,1433,980890410959;0;0;1433
Pow-AC1Triunfo,04/21/2021,09:00:00,1520,6250180505415;0;0;1520
Pow-AC1Triunfo,04/21/2021,10:00:00,1488,2995074626865;0;0;1488
Pow-AC1Triunfo,04/21/2021,11:00:00,1617,4278550724637;0;0;1617
Pow-AC1Triunfo,04/21/2021,12:00:00,1993,120138888889;0;0;1993
Pow-AC1Triunfo,04/21/2021,13:00:00,1981,42887345679;0;0;1981
Pow-AC1Triunfo,04/21/2021,14:00:00,1962,1482904689865;0;0;1962
Pow-AC1Triunfo,04/21/2021,15:00:00,1639,244776951673;0;0;1639
Pow-AC1Triunfo,04/21/2021,16:00:00,1287,0517931034483;0;0;1287
Pow-AC1Triunfo,04/21/2021,17:00:00,1184,693241252302;0;0;1184
Pow-AC1Triunfo,04/21/2021,18:00:00,0,
Pow-AC1Triunfo,04/21/2021,19:00:00,0,
Pow-AC1Triunfo,04/21/2021,20:00:00,0,
Pow-AC1Triunfo,04/21/2021,21:00:00,0,
Pow-AC1Triunfo,04/21/2021,22:00:00,0,
Pow-AC1Triunfo,04/21/2021,23:00:00,0,
Pow-AC1Triunfo,04/22/2021,00:00:00,0,
Pow-AC1Triunfo,04/22/2021,01:00:00,0,
Pow-AC1Triunfo,04/22/2021,02:00:00,0,
Pow-AC1Triunfo,04/22/2021,03:00:00,0,
Pow-AC1Triunfo,04/22/2021,04:00:00,0,
Pow-AC1Triunfo,04/22/2021,05:00:00,0,
Pow-AC1Triunfo,04/22/2021,06:00:00,0,
Pow-AC1Triunfo,04/22/2021,07:00:00,357,05914705882356;0;0;357
Pow-AC1Triunfo,04/22/2021,08:00:00,1784,2694177583694;0;0;1784
Pow-AC1Triunfo,04/22/2021,09:00:00,1445,2539644970414;0;0;1445
Pow-AC1Triunfo,04/22/2021,10:00:00,1920,9602843601897;0;0;1920
Pow-AC1Triunfo,04/22/2021,11:00:00,1499,7376643598616;0;0;1499
Pow-AC1Triunfo,04/22/2021,12:00:00,1428,6101627218934;0;0;1428
Pow-AC1Triunfo,04/22/2021,13:00:00,1633,684204379562;0;0;1633
Pow-AC1Triunfo,04/22/2021,14:00:00,1725,8712580645165;0;0;1725
Pow-AC1Triunfo,04/22/2021,15:00:00,1938,1372423802613;0;0;1938
Pow-AC1Triunfo,04/22/2021,16:00:00,1893,3452155172415;0;0;1893
Pow-AC1Triunfo,04/22/2021,17:00:00,1830,3348350071735;0;0;1830
Pow-AC1Triunfo,04/22/2021,18:00:00,0,
Pow-AC1Triunfo,04/22/2021,19:00:00,0,
Pow-AC1Triunfo,04/22/2021,20:00:00,0,
Pow-AC1Triunfo,04/22/2021,21:00:00,0,
Pow-AC1Triunfo,04/22/2021,22:00:00,0,
Pow-AC1Triunfo,04/22/2021,23:00:00,0,
Pow-AC1Triunfo,04/23/2021,00:00:00,0,
Pow-AC1Triunfo,04/23/2021,01:00:00,0,
Pow-AC1Triunfo,04/23/2021,02:00:00,0,
Pow-AC1Triunfo,04/23/2021,03:00:00,0,
Pow-AC1Triunfo,04/23/2021,04:00:00,0,
Pow-AC1Triunfo,04/23/2021,05:00:00,0,
Pow-AC1Triunfo,04/23/2021,06:00:00,0,
Pow-AC1Triunfo,04/23/2021,07:00:00,0,
Pow-AC1Triunfo,04/23/2021,08:00:00,1532,20375;0;0;1532
Pow-AC1Triunfo,04/23/2021,09:00:00,1863,1123538461538;0;0;1863
Pow-AC1Triunfo,04/23/2021,10:00:00,1634,9472621035056;0;0;1634
Pow-AC1Triunfo,04/23/2021,11:00:00,1478,5766385135134;0;0;1478
Pow-AC1Triunfo,04/23/2021,12:00:00,1460,0880968858132;0;0;1460
Pow-AC1Triunfo,04/23/2021,13:00:00,1618,1946982055465;0;0;1618
Pow-AC1Triunfo,04/23/2021,14:00:00,1924,7127346938773;0;0;1924
Pow-AC1Triunfo,04/23/2021,15:00:00,1527,9838593481988;0;0;1527
Pow-AC1Triunfo,04/23/2021,16:00:00,1541,0223278688525;0;0;1541
Pow-AC1Triunfo,04/23/2021,17:00:00,827,2406366047746;0;0;827
Pow-AC1Triunfo,04/23/2021,18:00:00,0,
Pow-AC1Triunfo,04/23/2021,19:00:00,0,
Pow-AC1Triunfo,04/23/2021,20:00:00,0,
Pow-AC1Triunfo,04/23/2021,21:00:00,0,
