data,hora_utc,hora_simples,temperatura
04/05/2021,0000,00,22.5
04/05/2021,0100,01,22.1
04/05/2021,0200,02,22
04/05/2021,0300,03,21.7
04/05/2021,0400,04,21.6
04/05/2021,0500,05,21.2
04/05/2021,0600,06,21.3
04/05/2021,0700,07,21.2
04/05/2021,0800,08,21.1
04/05/2021,0900,09,21.1
04/05/2021,1000,10,21.4
04/05/2021,1100,11,22.7
04/05/2021,1200,12,24.7
04/05/2021,1300,13,24.9
04/05/2021,1400,14,25.8
04/05/2021,1500,15,22.5
04/05/2021,1600,16,23.5
04/05/2021,1700,17,20.3
04/05/2021,1800,18,20.9
04/05/2021,1900,19,21.3
04/05/2021,2000,20,21.5
04/05/2021,2100,21,21.2
04/05/2021,2200,22,21.2
04/05/2021,2300,23,21.2
05/05/2021,0000,00,21.5
05/05/2021,0100,01,21.3
05/05/2021,0200,02,21.5
05/05/2021,0300,03,21.6
05/05/2021,0400,04,21.4
05/05/2021,0500,05,21.4
05/05/2021,0600,06,21.4
05/05/2021,0700,07,21.4
05/05/2021,0800,08,21.2
05/05/2021,0900,09,21.3
05/05/2021,1000,10,22.3
05/05/2021,1100,11,23.5
05/05/2021,1200,12,23.1
05/05/2021,1300,13,24
05/05/2021,1400,14,23.3
05/05/2021,1500,15,23.3
05/05/2021,1600,16,26.8
05/05/2021,1700,17,27.1
05/05/2021,1800,18,25.3
05/05/2021,1900,19,24.7
05/05/2021,2000,20,23.7
05/05/2021,2100,21,23.3
05/05/2021,2200,22,22.7
05/05/2021,2300,23,22.7
06/05/2021,0000,00,22.4
06/05/2021,0100,01,22.1
06/05/2021,0200,02,21.8
06/05/2021,0300,03,21.5
06/05/2021,0400,04,21.2
06/05/2021,0500,05,20.8
06/05/2021,0600,06,20.7
06/05/2021,0700,07,20.5
06/05/2021,0800,08,20.4
06/05/2021,0900,09,21
06/05/2021,1000,10,22.5
06/05/2021,1100,11,24.2
06/05/2021,1200,12,25
06/05/2021,1300,13,26.1
06/05/2021,1400,14,27.5
06/05/2021,1500,15,27.7
06/05/2021,1600,16,28.4
06/05/2021,1700,17,28.1
06/05/2021,1800,18,27
06/05/2021,1900,19,26.4
06/05/2021,2000,20,25.2
06/05/2021,2100,21,24.3
06/05/2021,2200,22,23.2
06/05/2021,2300,23,22.4
07/05/2021,0000,00,22.1
07/05/2021,0100,01,21.6
07/05/2021,0200,02,21.6
07/05/2021,0300,03,21.5
07/05/2021,0400,04,21.3
07/05/2021,0500,05,21.2
07/05/2021,0600,06,21.1
07/05/2021,0700,07,21
07/05/2021,0800,08,21.1
07/05/2021,0900,09,21.5
07/05/2021,1000,10,22.6
07/05/2021,1100,11,23.4
07/05/2021,1200,12,25.4
07/05/2021,1300,13,27.1
07/05/2021,1400,14,27
07/05/2021,1500,15,27.5
07/05/2021,1600,16,28.7
